Batter,REA,RES,PA,OPS,OBP,SLG,AVG,RBI,HR
altuj001,128.77855524823298,-97.34435366311496,604,.920,.387,.533,.300,57,28
branm003,49.135206353841184,-38.79576334464946,277,.786,.370,.416,.288,26,5
brega001,122.636738968516,-114.97645644701046,656,.820,.366,.454,.259,93,23
alvay001,135.74151077147292,-93.44411009631061,561,1.019,.406,.613,.306,97,37
gurry001,90.33109514327812,-115.96969087434535,584,.648,.288,.360,.242,53,8
ohtas001,134.67456887005005,-101.15787474370853,666,.875,.356,.519,.273,95,34
troum001,115.26556547204885,-77.96106380718138,499,.999,.369,.630,.283,80,40
renda001,34.37951321053717,-39.382526208793124,193,.706,.326,.380,.229,24,5
tuckk001,143.27363702870036,-111.8724684674839,609,.808,.330,.478,.257,107,30
penaj004,97.28476903269942,-91.56885075962039,558,.715,.289,.426,.253,63,22
mccoc001,65.879645505909,-62.70819079916032,407,.739,.332,.407,.245,44,14
duffm002,32.10270573561367,-43.035570514328846,247,.619,.308,.311,.250,16,2
adelj001,41.70475179093914,-60.54525941097272,285,.637,.264,.373,.224,27,8
walsj001,68.50061848647655,-85.56513268694287,454,.643,.269,.374,.215,44,15
stasm001,52.05833621053695,-75.51242717516342,375,.570,.267,.303,.180,30,9
maldm001,57.53643644121105,-73.13142115286587,379,.600,.248,.352,.186,45,15
marsb002,83.18858153671037,-80.05564603878484,461,.679,.295,.384,.245,52,11
fletd002,33.16309632520343,-38.43443684869468,228,.621,.288,.333,.255,17,2
wadet002,24.310850433585664,-29.793920968433273,163,.544,.272,.272,.218,8,1
diaza003,55.755629832233836,-58.52672939809925,327,.690,.287,.403,.243,38,12
rojaj002,2.569307278990658,-11.855392971853345,57,.301,.140,.161,.125,1,0
sirij001,55.571404391318,-61.30626773243996,325,.607,.268,.339,.213,24,7
suzuk001,21.040576378982013,-27.674445948940754,159,.561,.266,.295,.180,15,4
goodn002,3.1444767594231924,-7.921347504050149,45,.319,.156,.163,.116,1,0
perej003,0,-0.09284116331096197,1,.000,.000,.000,.000,0,0
mayfj001,9.428859257221205,-14.031540682520994,74,.501,.230,.271,.186,6,1
castj006,9.78734632338736,-21.321792882006626,88,.384,.205,.179,.115,3,1
solej001,52.543076700328854,-60.150933122065624,306,.695,.295,.400,.207,34,13
sancj003,57.165830122325076,-70.68675197932139,343,.683,.280,.403,.214,36,13
coopg002,82.35613639598492,-81.36462574158415,469,.752,.337,.415,.261,50,9
aguij001,77.06032334104236,-98.00639254887597,507,.660,.281,.379,.235,51,16
wendj002,64.64779459577554,-63.22567299896771,371,.657,.297,.360,.259,32,3
andeb006,56.06756202945303,-68.65596737626062,383,.657,.311,.346,.222,28,8
stalj001,52.87402532980409,-77.37135517439278,384,.584,.292,.292,.223,34,4
chisj001,62.457371978983915,-41.53543755675773,241,.860,.325,.535,.254,45,14
rojam002,74.22567293680045,-89.86957151391495,507,.606,.283,.323,.236,36,6
delab001,61.92597866423771,-71.47214808886359,355,.726,.294,.432,.252,43,13
bertj001,84.24887074690419,-68.69624319028726,404,.662,.324,.338,.240,28,4
velaa001,51.799375444914546,-67.49760446079857,349,.540,.236,.304,.196,28,9
mullc002,124.5378797439038,-126.68730875675062,672,.721,.318,.403,.258,64,16
manct001,101.05602382505619,-100.47906027256056,587,.710,.319,.391,.239,63,18
mounr001,113.53042885278981,-116.41078146136996,609,.728,.305,.423,.250,85,22
santa003,125.48180258741685,-118.49585137081762,647,.773,.318,.455,.240,89,33
haysa001,99.35642922537046,-109.2607018582056,582,.719,.306,.413,.250,60,16
uriar001,83.63260314808227,-80.70514904435208,445,.719,.305,.414,.248,51,16
chirr001,28.03626312300691,-42.3151801874987,220,.552,.265,.287,.179,22,4
gutik001,4.878799898650801,-6.565565693421847,33,.429,.250,.179,.143,3,0
matej003,94.63253947739928,-108.62521238879492,533,.646,.267,.379,.221,50,13
wardt002,109.3605755988649,-91.48807451844888,564,.833,.360,.473,.281,65,23
odorr001,80.51682206639165,-92.37335963182369,472,.632,.275,.357,.207,53,13
bemba001,6.235385702555684,-12.089782955513058,59,.419,.207,.212,.115,1,1
owinc001,5.93609543373402,-16.324942473241045,68,.397,.254,.143,.107,0,0
stram002,85.27525142286721,-117.1428327735255,596,.564,.291,.273,.221,32,0
rosaa003,123.14770489791181,-128.40531927378476,670,.715,.312,.403,.283,71,11
ramij003,159.66228540669422,-115.93888665646568,685,.869,.355,.514,.280,126,29
reyef001,72.87421378869622,-96.00388310494222,473,.638,.273,.365,.221,47,14
naylj001,102.32860887132009,-95.02008763281134,498,.771,.319,.452,.256,79,20
millo002,74.26463197726159,-89.8372681104303,472,.652,.301,.351,.243,51,6
gimea001,115.65580354687897,-92.56132468598808,557,.837,.371,.466,.297,69,17
hedga001,44.367295828239854,-70.08714729189731,338,.489,.241,.248,.163,30,7
palar002,15.587282316040794,-23.96840791836271,123,.579,.293,.286,.232,10,0
merco003,21.242406907373883,-27.28743160460722,128,.614,.242,.372,.207,16,4
cleme002,20.03929300771928,-36.30076139155249,179,.452,.243,.209,.184,6,0
maill001,32.0689432459712,-40.65541838781406,206,.627,.301,.326,.221,17,3
bradb002,0.7751151948674184,-3.9524177284018744,17,.236,.118,.118,.118,0,0
hernc005,92.40643878030774,-108.49336571304757,617,.629,.311,.318,.248,34,1
sotoj001,126.40467563391381,-112.25392601197325,664,.853,.401,.452,.242,62,27
bellj005,117.287007969964,-121.34635441571525,647,.784,.362,.422,.266,71,17
cruzn002,92.10150360766958,-100.88529279137384,507,.650,.313,.337,.234,64,10
franm004,58.6622705165002,-86.52489568579337,388,.597,.255,.342,.229,39,9
ruizk001,66.22133866531094,-92.60136190023525,433,.673,.313,.360,.251,36,7
thoml002,94.0806304050266,-104.89265175626996,548,.705,.301,.404,.241,52,17
roblv001,62.75156119630561,-75.79428590431368,407,.584,.273,.311,.224,33,6
